"","name","sex","year","n"
"11379","Patricia","Female",1978,49
"11380","Paul","Male",1994,49
"11381","Philip","Male",1971,49
"11382","Raymond","Male",1978,49
"11383","Raymond","Male",1981,49
"11384","Rhonda","Female",1969,49
"11385","Ruby","Female",1999,49
"11386","Ruth","Female",1961,49
"11387","Sam","Male",2001,49
"11388","Samuel","Male",1980,49
"11389","Sara","Female",1988,49
"11390","Sara","Female",1989,49
"11391","Sharon","Female",1980,49
"11392","Shaun","Male",1998,49
"11393","Simone","Female",1985,49
"11394","Simone","Female",1990,49
"11395","Simone","Female",1991,49
"11396","Skye","Female",1999,49
"11397","Skye","Female",2005,49
"11398","Stacey","Female",1995,49
"11399","Stuart","Male",1985,49
"11400","Suzanne","Female",1979,49
"11401","Terry","Male",1961,49
"11402","Tina","Female",1981,49
"11403","Trent","Male",1999,49
"11404","Tyson","Male",1989,49
"11405","Vanessa","Female",1986,49
"11406","Vanessa","Female",1989,49
"11407","Wayne","Male",1985,49
"11408","Abigail","Female",2000,48
"11409","Abigail","Female",2002,48
"11410","Alan","Male",1975,48
"11411","Alana","Female",1998,48
"11412","Alice","Female",1999,48
"11413","Allan","Male",1983,48
"11414","Amelia","Female",1994,48
"11415","Amy","Female",1975,48
"11416","Andrea","Female",1986,48
"11417","Anna","Female",1973,48
"11418","Belinda","Female",1967,48
"11419","Belinda","Female",1968,48
"11420","Ben","Male",1976,48
"11421","Ben","Male",1995,48
"11422","Brent","Male",1987,48
"11423","Bridget","Female",1997,48
"11424","Brody","Male",2000,48
"11425","Bronwyn","Female",1963,48
"11426","Caitlin","Female",1985,48
"11427","Caleb","Male",1995,48
"11428","Cameron","Male",1960,48
"11429","Carmel","Female",1965,48
"11430","Carol","Female",1970,48
"11431","Casey","Female",1987,48
"11432","Casey","Female",1993,48
"11433","Casey","Female",2003,48
"11434","Catherine","Female",1992,48
"11435","Christine","Female",1986,48
"11436","Claudia","Female",2003,48
"11437","Clayton","Male",1983,48
"11438","Corey","Male",1983,48
"11439","Crystal","Female",1995,48
